english,punjabi
a,Ay
aahna,Awhnw
aakash,AwkwS
aanchal,AWcl
aarav,Awrv
aarzoo,AwrzU
aastha,AwsQw
aayushi,AwXUSI
abhay,Aby
abhijeet,AiBjIq
abhinandan,AiBnMdn
abhinav,AiBnv
abhishek,AiBSyk
abohar,Abohr
achint,AicMq
adesh,AwdyS
adhiraj,AiDrwj
aditya,AwidiqAw
advik,Awdiv`k
aggarwal,Agrvwl
ajit,AjIq
akhil,AiKl
akshay,AkSy
akshita,AkiSqw
alisha,AlISw
aman,Amn
amarjeet,AmrjIq
amarjit,AmrjIq
amarjot,Amrjoq
ambala,AMbwlw
ambar,Ambr
ambika,AMibkw
amnesh,AmnyS
amolak,Amlok
amrik,AmrIk
amrinder,AmirMdr
amrit,AimRq
amritsar,AimRqsr
anamika,Anwimkw
anand,AwnMd
angad,AMgd
anjali,AMjlI
ankita,AMikqw
ankur,AMkur
anmol,Anmol
anoop,AnUp
anshul,AMSul
anshuman,AMSumwn
anuj,Anuj
anveer,AnvIr
apoorva,ApUrvw
archana,Arcnw
ardaas,Ardws
arjun,Arjun
armaan,Armwn
arora,AroVw
arsh,ArS
arvind,ArivMd
asha,AwSw
ashmeet,ASmIq
ashok,Asok
ashwani,ASvnI
atinder,AiqMdr
aujla,Aojlw
avneet,AvnIq
avtaar,Avqwr
ayushi,AXUSI
azad,Azwd
b,bI
babbar,b`br
babu,bwbU
badal,bwdl
bagicha,bgIcw
bains,bYNs
bajwa,bwjvw
bakshish,bkSIS
balbir,blbIr
baldev,bldyv
balpreet,blpRIq
balraj,blrwj
balwinder,blivMdr
bansal,bMsl
banwait,bxvYq
barnala,brnwlw
basant,bsMq
bassi,b`sI
bathinda,biTMfw
batra,b`qrw
bawa,bwvw
beas,ibAws
bedi,bydI
behl,byhl
bhagat,Bgq
bhajan,Bjn
bhandari,BMfwrI
bhangra,BMgVw
bharti,BwrqI
bhatia,BwtIAw
bhattal,B`tl
bhatti,B`tI
bhavneet,BvnIq
bhawar,Bvr
bhinder,iBMdr
bhogal,Bogl
bhullar,Bu`lr
bhupinder,BuipMdr
bhushan,BUSx
bibi,bIbI
bikram,ibkRm
bilaspur,iblwspur
bimla,ibmlw
bindra,ibMdrw
birdi,ibrVI
bishan,ibSn
brar,brwV
brij,ibrj
budha,bu`Fw
bulb,blb
c,sI
chahal,cwhl
chainani,cYnwnI
chakwal,ckvwl
chamkaur,cmkOr
chander,cMdye
chandigarh,cMfIgVH
chandok,cMdok
charan,crn
charanjit,crnjIq
chatrath,cqrQ
chaudhary,cODrI
chawla,cwvlw
chhabi,C`bI
chhaya,CwXw
chhina,Cinw
chhokar,Cokr
chimni,icmnI
chirag,icrwg
chodhary,cODrI
choudhary,cODrI
chugh,cu`G
d,fI
dadra,dwdrw
dakoha,dkohw
daler,dlyr
dalip,dlIp
dalvir,dlvIr
daman,dmn
dasuya,dsUhw
davinder,divMdr
debo,fybo
deccan,fykn
deep,dIp
deol,idEl
dera,fyrw
dev,dyv
dewan,dIvwn
dhaba,Fwbw
dhami,DwmI
dhan,DMn
dhanda,DMdw
dhanoa,DnoAw
dhansu,DnsU
dhariwal,DwrIvwl
dharma,Drmw
dhawan,Dvn
dhesi,FysI
dhillon,iF`loN
dhingra,iFMgrw
dhir,DIr
dhody,DoFI
dholi,FolI
dhuri,DUrI
dilkash,idlkS
dilpreet,idlpRIq
dilraj,idlrwj
doctor,fwktr
doel,doiel
dosanjh,dosWJ
duggal,du`gl
dugri,dugrI
e,eI
ekam,eykm
ekta,eykqw
f,AYP
faridkot,PrIdkot
farzana,Przwnw
fateh,Piqh
fatehgarh,PiqhgVH
ferozepur,iProzpur
g,jI
gagan,ggn
gaganjot,ggnjoq
gagneja,ggnyjw
gandhi,gWDI
garcha,grcw
garg,grg
gauri,gOrI
gautam,gOqm
geeta,gIqw
ghai,GeI
ghataur,GtOr
ghuman,Gumn
giaspura,igAwspur
gill,ig`l
gillco,iglko
gobind,goibMd
gobindgarh,goibMdgVH
goel,goiel
goindwal,goieMdvwl
golyan,golXwn
gora,gorw
goraiya,gorwieAw
goraya,goirAw
goria,goirAw
gosal,gosl
goyal,goXl
grewal,gryvwl
gulab,ugulwb
guleria,gulyirAw
gulshan,gulSn
h,AYc
harshdeep,hrSdIp
harshil,hriSl
harshit,hriSq
hemant,hymMq
himachal,ihmwcl
himanshu,ihmWSU
hitean,ihqyn
i,AweI
ishpreet,ieSpRIq
j,jy
janak,jnk
jashan,jSn
jaspreet,jspRIq
jasvinder,jsivMdr
jigyasa,ijgXwsw
jogi,jogI
joginder,joigMdr
k,ky
kamal,kml
karan,krn
karandeep,krndIp
kartik,kwriqk
kaur,kOr
kumar,kumwr
l,AYl
ludhiana,luiDAwnw
m,AYm
moga,mogw
moosa,mU`sw
morinda,moirMfw
n,AYn
nangal,nMgl
navkiran,nvikrn
navneet,nvnIq
o,E
p,pI
parmeesh,prmIS
parmish,prmIS
phirozpur,iProzpur
pradesh,pRdyS
puttar,pu~qr
q,ikaU
r,Awr
rajesh,rwjyS
rajveer,rwjvIr
rajvir,rwjvIr
rajwinder,rwjivMdr
raunak,rOnk
reeta,rItw
ronak,rOnk
ropar,ropV
s,AYs
sandeep,sndIp
seeta,sIqw
sharma,Srmw
sidhu,is`DU
singh,isMG
singla,isMglw
sita,sIqw
t,tI
u,XU
una,aunw
uttar,au~qr
v,vI
veer,vIr
w,fblU
x,Ayks
y,vweI
yogesh,XogyS
z,zI
abeer,AbIr
abha,AwBw
abhimanyu,AiBminaU
abhiram,AiBrwm
